id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
160250,Yozakura-san Chi no Daisakusen: Yozakura-ke Kansatsu Nikki,,/mangas/160250-yozakura-san-chi-no-daisakusen-yozakura-ke-kansatsu-nikki,light_novel,0.0,released,1,5,,,2023-07-04,
87771,Aigan Reijou: Uruwashi no Bisque Doll,,/mangas/87771-aigan-reijou-uruwashi-no-bisque-doll,light_novel,0.0,released,1,8,,,2012-08-03,
89158,Biyaku nante Baka ja Nai no!,,/mangas/89158-biyaku-nante-baka-ja-nai-no,light_novel,0.0,released,1,0,,,2015-05-22,
72191,Aquanaut Chronicle,Хроника акванавта,/mangas/72191-aquanaut-chronicle,light_novel,0.0,released,1,10,,,2014-03-29,
92257,Akechi Shounen no Kojitsuke,,/mangas/92257-akechi-shounen-no-kojitsuke,light_novel,0.0,released,3,18,,,2012-01-30,2012-09-29
62885,Angel Magister,Ангел-магистр,/mangas/62885-angel-magister,light_novel,0.0,released,1,0,,,2009-12-22,
46512,Hakuchou Iden,Лебединая странная легенда,/mangas/46512-hakuchou-iden,light_novel,0.0,released,2,10,,,1996-07-01,
65835,D-Crackers,,/mangas/65835-d-crackers,light_novel,0.0,released,8,0,,,2000-11-01,2004-01-01
101223,Musou Ryuugeki no Slayer,,/mangas/101223-musou-ryuugeki-no-slayer,light_novel,0.0,ongoing,0,0,,,2016-10-25,
101794,Gamble Witch Kingdom,Королевство азартных ведьм,/mangas/101794-gamble-witch-kingdom,light_novel,0.0,ongoing,0,0,,,2016-11-15,
51845,Gong Hua,Чёрный цветок,/mangas/51845-gong-hua,light_novel,0.0,released,4,0,,,2009-10-01,2014-07-01
76031,HxH! Ofuro wa Ibunka Communication!?,,/mangas/76031-hxh-ofuro-wa-ibunka-communication,light_novel,0.0,released,1,10,,,2011-01-20,
146690,Baraou no Souretsu: Original Novel - Itsutsu no Makuai,Похороны Короля Роз: Пять антрактов,/mangas/146690-baraou-no-souretsu-original-novel-itsutsu-no-makuai,novel,0.0,released,1,5,,,2021-12-15,
108882,Yamihime no Yaiba to Inmitsu no Goumon: Dark Elf Mamoru no Jikenbo,,/mangas/108882-yamihime-no-yaiba-to-inmitsu-no-goumon-dark-elf-mamoru-no-jikenbo,light_novel,0.0,released,1,0,,,2014-02-21,
92216,Keiyaku no Kiss Mark,,/mangas/92216-keiyaku-no-kiss-mark,light_novel,0.0,released,1,0,,,2015-08-12,
74761,Shouen no Machi no Eiyuu Shoujo,,/mangas/74761-shouen-no-machi-no-eiyuu-shoujo,light_novel,0.0,released,3,26,,,2014-06-25,2014-12-25
95097,Four Cours After,,/mangas/95097-four-cours-after,light_novel,0.0,released,4,40,,,2015-12-18,2017-03-17
95313,Mayakashi no Messiah,Бессмертный король Атлантиды,/mangas/95313-mayakashi-no-messiah,light_novel,0.0,ongoing,0,0,,,2016-01-15,
105841,Haitoku no Mistu no Aji: Bokutachi Hentai da ne,,/mangas/105841-haitoku-no-mistu-no-aji-bokutachi-hentai-da-ne,light_novel,0.0,released,1,4,,,2014-04-24,
91177,Eiyuu Shikkaku,Больше не герой,/mangas/91177-eiyuu-shikkaku,light_novel,0.0,ongoing,0,0,,,2015-07-30,
64113,Butterfly x Breakdown,,/mangas/64113-butterfly-x-breakdown,light_novel,0.0,released,2,0,,,2012-05-30,2012-12-27
92870,Maou ga Oosugiru Yononaka ni Tsugeru,,/mangas/92870-maou-ga-oosugiru-yononaka-ni-tsugeru,light_novel,0.0,released,2,15,,,2014-01-25,2014-06-25
93581,Wagaya no Ano Ko wa Eroganger!?,,/mangas/93581-wagaya-no-ano-ko-wa-eroganger,light_novel,0.0,released,1,0,,,2015-05-22,
134167,Engoku no Bara-hime,,/mangas/134167-engoku-no-bara-hime,light_novel,0.0,ongoing,0,0,,,2019-11-01,
82323,Cheat Sensei no Chouhatsu,,/mangas/82323-cheat-sensei-no-chouhatsu,light_novel,0.0,released,1,0,,,2014-12-01,
55437,Toki no Akuma to Mitsu no Monogatari,,/mangas/55437-toki-no-akuma-to-mitsu-no-monogatari,light_novel,0.0,released,1,5,,,2013-07-01,
55761,Imouto Gakari,,/mangas/55761-imouto-gakari,light_novel,0.0,released,3,19,,,2011-09-22,2013-04-25
56449,Oneechan Reboot!,Перезагрузка сестрёнки!,/mangas/56449-oneechan-reboot,light_novel,0.0,released,1,7,,,2013-07-20,
56483,Usotsuki Tenshi wa Shinimashita!,Лгущий ангел мёртв!,/mangas/56483-usotsuki-tenshi-wa-shinimashita,light_novel,0.0,released,3,33,,,2011-10-25,2013-04-25
56871,Yuusha ni wa Katenai,,/mangas/56871-yuusha-ni-wa-katenai,light_novel,0.0,released,1,0,,,2012-02-10,
57823,Kanojo no Unmei Game-kei,,/mangas/57823-kanojo-no-unmei-game-kei,light_novel,0.0,released,1,10,,,2012-12-10,
58067,"Yuutousei Ijou, Furyou Miman na Orera.",,/mangas/58067-yuutousei-ijou-furyou-miman-na-orera,light_novel,0.0,released,7,0,,,2011-10-15,2013-09-14
58335,Hanayashiki Sumika no Seichi Junrei,,/mangas/58335-hanayashiki-sumika-no-seichi-junrei,light_novel,0.0,released,2,8,,,2013-06-07,2013-10-10
59281,Ragna Crown,,/mangas/59281-ragna-crown,light_novel,0.0,released,3,0,,,2009-11-25,2010-05-25
108627,Boukyaku no Ice Organ,,/mangas/108627-boukyaku-no-ice-organ,light_novel,0.0,ongoing,0,0,,,2017-08-18,
109106,"Arienai Ao to, Owaranai Haru",Невероятный синий и нескончаемая весна,/mangas/109106-arienai-ao-to-owaranai-haru,light_novel,0.0,released,1,7,,,2017-06-02,
103580,"Ore no Seishun wo Ikenie ni, Kanojo no Maegami wo Open",,/mangas/103580-ore-no-seishun-wo-ikenie-ni-kanojo-no-maegami-wo-open,light_novel,0.0,ongoing,0,0,,,2017-01-20,
103636,Oreiro ni Someru Bocchi Elite Shitsukekata,,/mangas/103636-oreiro-ni-someru-bocchi-elite-shitsukekata,light_novel,0.0,released,1,9,,,2017-02-01,
85341,Waga Hero no Tame no Alchemuls,Абсолютное зло для моего героя,/mangas/85341-waga-hero-no-tame-no-alchemuls,light_novel,0.0,released,3,17,,,2015-02-18,2016-04-19
108069,Kurau wa Taberu Koto ni Shita,,/mangas/108069-kurau-wa-taberu-koto-ni-shita,light_novel,0.0,released,1,7,,,2017-08-01,
85757,Kyoto Tashuzoku Anzen Kikou,,/mangas/85757-kyoto-tashuzoku-anzen-kikou,light_novel,0.0,released,1,5,,,2014-12-12,
86140,Rojiura Battle Princess,,/mangas/86140-rojiura-battle-princess,light_novel,0.0,released,4,25,,,2015-02-15,2015-12-15
60161,Makai de Hofu-san Hajimemashita,,/mangas/60161-makai-de-hofu-san-hajimemashita,light_novel,0.0,released,1,9,,,2013-01-29,
63001,"Onegai Dakara, Ato Gofun!",,/mangas/63001-onegai-dakara-ato-gofun,light_novel,0.0,released,3,0,,,2012-12-21,2013-12-25
63195,Tsuno Ari!,,/mangas/63195-tsuno-ari,light_novel,0.0,released,4,12,,,2010-11-25,2012-01-25
63353,Odaiba Chuuton Kichi no Yousei: Strike Princess,,/mangas/63353-odaiba-chuuton-kichi-no-yousei-strike-princess,light_novel,0.0,released,2,12,,,2013-12-01,2014-04-01
88406,"Potion, Wagami wo Tasukeru","Зелья, спасающие меня",/mangas/88406-potion-wagami-wo-tasukeru,light_novel,0.0,ongoing,0,0,,,2015-04-27,
65469,Eros Kourin!,,/mangas/65469-eros-kourin,light_novel,0.0,released,2,15,,,2010-12-01,2011-05-01
79413,Zettai Chouwa☆Orisaki-chan!,,/mangas/79413-zettai-chouwa-orisaki-chan,light_novel,0.0,released,2,23,,,2013-09-25,2014-01-24
80979,Chisuimura e Youkoso,Добро пожаловать в деревню вампиров,/mangas/80979-chisuimura-e-youkoso,light_novel,0.0,released,6,0,,,2009-03-10,2011-06-10
87110,Princess Prison!,,/mangas/87110-princess-prison,light_novel,0.0,released,1,5,,,2015-03-20,
88465,Shinsou Toshi no Odin,,/mangas/88465-shinsou-toshi-no-odin,light_novel,0.0,ongoing,0,0,,,2015-04-18,
