id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
113863,"1-ko Shita kara, Kiss sasete.","Я младше на год, поэтому прошу, разреши поцеловать тебя!",/mangas/113863-1-ko-shita-kara-kiss-sasete,manga,0.0,released,2,12,,,2017-02-13,2017-12-21
163928,Gal to Ii Koto Shichau: Anthology Comic,Повеселиться с гяру: Антология,/mangas/163928-gal-to-ii-koto-shichau-anthology-comic,manga,0.0,released,1,6,,,2023-10-26,
123220,Kimi ni Hatsukoi Propose,Твоё первое предложение о любви,/mangas/123220-kimi-ni-hatsukoi-propose,manga,6.72,released,1,5,,,2017-08-29,2019-08-29
14610,Moetan,Моэтан,/mangas/14610-moetan,manga,0.0,released,1,6,,,2009-02-01,
14775,Shouta no Sushi,Суши Сёты,/mangas/14775-shouta-no-sushi,manga,0.0,released,27,214,,,1992-01-01,1997-01-01
16671,Flat & Flow,,/mangas/16671-flat-flow,manga,0.0,released,0,0,,,2007-11-01,2010-06-01
104930,World Witches: Contrail of Witches,Мировые ведьмы: Инверсионный след ведьм,/mangas/104930-world-witches-contrail-of-witches,manga,0.0,released,3,20,,,2016-09-30,2017-11-30
18497,Xia Ke Xing,,/mangas/18497-xia-ke-xing,manhua,0.0,released,7,0,,,2007-01-01,2011-01-01
180869,Katsute no Ansatsusha wa Raise de Chigau Ikikata wo Suru,,/mangas/180869-katsute-no-ansatsusha-wa-raise-de-chigau-ikikata-wo-suru,manga,0.0,ongoing,0,0,,,2025-04-10,
96376,Hokuto no Ken Gaiden: Kinyoku no Garuda - Nanto Goshasei Zenshi,,/mangas/96376-hokuto-no-ken-gaiden-kinyoku-no-garuda-nanto-goshasei-zenshi,manga,0.0,released,1,5,,,2013-02-25,2013-06-25
117889,Wana Girl,,/mangas/117889-wana-girl,manga,0.0,ongoing,0,0,,,2017-05-27,
104670,Bijo to Yajuu,Красавица и чудовище,/mangas/104670-bijo-to-yajuu,one_shot,5.91,released,0,1,,,2003-02-01,
